Member #,Last Name,First Name,Street Address,City,State,Zip Code,Phone,Favorite Store,Date Joined,Dues Paid
1001,Madison,Dolly,105 Greentree Pl.,Culpepper,VA,22234,(703) 555-2345,1,1999-01-02,2002-01-01
1002,Millbourne,Stanley,3298 Palfrey Blvd.,Middleburg,VA,22358,(703) 552-2309,6,1999-02-02,2002-01-01
1003,Reynard,Lawrence,12 Foxchase Road,Mt. Vernon,VA,22038,(703) 534-0777,1,1999-02-03,2003-01-15
1005,Washington,Martha,3507 Cherry Tree Lane,Mt. Vernon,VA,22038,(703) 534-1776,3,1999-02-26,2002-01-16
1006,Kotterman,Bernard,3445 Baddage Street,Culpepper,VA,22234,(703) 555-3339,1,1999-02-28,2002-01-16
1007,Zambrini,Michael,2692 Londondery Ave.,Front Royal,VA,22131,(703) 527-0102,6,1999-03-02,2002-01-18
1008,Peckworth,Peckworth,3445 Monitor Court,Eire,VA,22542,(703) 598-9992,4,1999-03-02,2005-02-03
1010,Potter,Stuart,2324 Solataire Drive,Mclean,VA,22101,703536-0034,1,1999-04-14,2002-01-03
1011,Deal,Suzes,11 Linway Terrace,Arlington,VA,22302,703522-1701,2,1999-04-14,2002-02-10
1012,Muir,Mason,1131 14th Street South,Arlington,VA,22303,703522-4951,4,1999-07-05,2002-03-15
1013,Burreili,Emily,51 Arlington Blvd.,Arlington,VA,22303,703522-0922,2,1999-09-03,2002-01-30
1014,Burreili,Stanley,51 Arlington Blvd.,Arlington,VA,22303,703522-0922,1,1999-09-03,2002-01-30
1015,Jackson,Michael,13 Lala Blvd.,Bluemont,VA,22181,703563-0023,4,1999-11-11,2004-03-30
1016,Amado,Guillermo,932 Light Street,Alexandria,VA,22300,703931-8880,1,1999-12-20,2002-02-15
1017,Grimes,James,5510 23rd Street,Vienna,VA,22786,(703) 933-5657,5,2000-01-07,2004-01-01
1018,Cohen,Jessica,9113 Roswell Court,Mclean,VA,22101,(703) 536-9923,3,2000-01-07,2004-02-02
1019,Casey,Mick,2115 Goodway Ave.,Vienna,VA,22786,(703) 933-0099,3,2000-02-14,2002-01-11
1020,Estrada,Manuel,"5590 Palace Way, Apt. 10",Arlington,VA,22302,(703) 522-1188,1,2000-02-14,2004-04-06
